1,R123422,MR RAGHU KASHYAP,yash.vinayvanshi,yash@1234,Head,1
2,R121212,MR SHUDEER RAJAN,ritik.vashist09,ritikABCD,Teacher,0
3,R592312,MR MUKESH KUMAR,ksh_dwi11920,KD@#$%,Assistant,0
4,R172813,MS GAYATHRI CHAUDHARY,shou_gu1010,guptaR2D3,Teacher,0
5,R231234,MR PRAKASH CHAUBAY,rahul.hst12329,RAhul122,Associate Teacher,0
6,R912031,MR HARJAAP SINGH,tsetring128912,tsering5,Principal,1
7,R182910,MR KESHAV SHARMA,tsetring128912,tsering5,Shiksha Adhikari,1
8,R718293,MR RANJIT SETH,tsetring128912,tsering5,Teacher,1
9,R537483,MR PRACHAND SHEORAN,tsetring128912,tsering5,Teacher,1
10,R232345,MR RAKESH DUBEY,tsetring128912,tsering5,Teacher,1
11,R124890,MS SHAZIA ANSARI,tsetring128912,tsering5,Head,1
12,R231892,MR SONAM WANGCHUK,tsetring128912,tsering5,Head,1
13,R234234,MR HARISH VERMA,tsetring128912,tsering5,Principal,1
